"","state","site","date","dailycases","note"
"209","Brazil","Amazonas",2020-03-07,0,"NA"
"210","Brazil","Amazonas",2020-03-08,0,"NA"
"211","Brazil","Amazonas",2020-03-09,0,"NA"
"212","Brazil","Amazonas",2020-03-10,0,"NA"
"213","Brazil","Amazonas",2020-03-11,0,"NA"
"214","Brazil","Amazonas",2020-03-12,0,"NA"
"215","Brazil","Amazonas",2020-03-13,0,"NA"
"216","Brazil","Amazonas",2020-03-14,0,"NA"
"217","Brazil","Amazonas",2020-03-15,1,"NA"
"218","Brazil","Amazonas",2020-03-16,0,"NA"
"219","Brazil","Amazonas",2020-03-17,0,"NA"
"220","Brazil","Amazonas",2020-03-18,0,"NA"
"221","Brazil","Amazonas",2020-03-19,2,"NA"
"222","Brazil","Amazonas",2020-03-20,0,"NA"
"223","Brazil","Amazonas",2020-03-21,8,"NA"
"224","Brazil","Amazonas",2020-03-22,15,"NA"
"225","Brazil","Amazonas",2020-03-23,6,"NA"
"226","Brazil","Amazonas",2020-03-24,15,"NA"
"227","Brazil","Amazonas",2020-03-25,7,"NA"
"228","Brazil","Amazonas",2020-03-26,13,"NA"
"229","Brazil","Amazonas",2020-03-27,14,"NA"
"230","Brazil","Amazonas",2020-03-28,30,"NA"
"231","Brazil","Amazonas",2020-03-29,29,"NA"
"232","Brazil","Amazonas",2020-03-30,11,"NA"
"233","Brazil","Amazonas",2020-03-31,24,"NA"
"234","Brazil","Amazonas",2020-04-01,25,"NA"
"235","Brazil","Amazonas",2020-04-02,29,"NA"
"236","Brazil","Amazonas",2020-04-03,31,"NA"
"237","Brazil","Amazonas",2020-04-04,51,"NA"
"238","Brazil","Amazonas",2020-04-05,106,"NA"
"239","Brazil","Amazonas",2020-04-06,115,"NA"
"240","Brazil","Amazonas",2020-04-07,104,"NA"
"241","Brazil","Amazonas",2020-04-08,168,"NA"
"242","Brazil","Amazonas",2020-04-09,95,"NA"
"243","Brazil","Amazonas",2020-04-10,82,"NA"
"244","Brazil","Amazonas",2020-04-11,69,"NA"
"245","Brazil","Amazonas",2020-04-12,156,"NA"
"246","Brazil","Amazonas",2020-04-13,69,"NA"
"247","Brazil","Amazonas",2020-04-14,209,"NA"
"248","Brazil","Amazonas",2020-04-15,70,"NA"
"249","Brazil","Amazonas",2020-04-16,165,"NA"
"250","Brazil","Amazonas",2020-04-17,90,"NA"
"251","Brazil","Amazonas",2020-04-18,88,"NA"
"252","Brazil","Amazonas",2020-04-19,147,"NA"
"253","Brazil","Amazonas",2020-04-20,116,"NA"
"254","Brazil","Amazonas",2020-04-21,110,"NA"
"255","Brazil","Amazonas",2020-04-22,209,"NA"
"256","Brazil","Amazonas",2020-04-23,409,"NA"
"257","Brazil","Amazonas",2020-04-24,306,"NA"
"258","Brazil","Amazonas",2020-04-25,441,"NA"
"259","Brazil","Amazonas",2020-04-26,198,"NA"
"260","Brazil","Amazonas",2020-04-27,95,"NA"
"261","Brazil","Amazonas",2020-04-28,409,"NA"
"262","Brazil","Amazonas",2020-04-29,464,"NA"
"263","Brazil","Amazonas",2020-04-30,453,"NA"
"264","Brazil","Amazonas",2020-05-01,469,"NA"
"265","Brazil","Bahia",2020-02-26,0,"NA"
"266","Brazil","Bahia",2020-02-27,0,"NA"
"267","Brazil","Bahia",2020-02-28,0,"NA"
"268","Brazil","Bahia",2020-02-29,0,"NA"
"269","Brazil","Bahia",2020-03-01,0,"NA"
"270","Brazil","Bahia",2020-03-02,0,"NA"
"271","Brazil","Bahia",2020-03-03,0,"NA"
"272","Brazil","Bahia",2020-03-04,0,"NA"
"273","Brazil","Bahia",2020-03-05,0,"NA"
"274","Brazil","Bahia",2020-03-06,1,"NA"
"275","Brazil","Bahia",2020-03-07,1,"NA"
"276","Brazil","Bahia",2020-03-08,0,"NA"
"277","Brazil","Bahia",2020-03-09,0,"NA"
"278","Brazil","Bahia",2020-03-10,0,"NA"
"279","Brazil","Bahia",2020-03-11,0,"NA"
"280","Brazil","Bahia",2020-03-12,0,"NA"
"281","Brazil","Bahia",2020-03-13,0,"NA"
"282","Brazil","Bahia",2020-03-14,0,"NA"
"283","Brazil","Bahia",2020-03-15,0,"NA"
"284","Brazil","Bahia",2020-03-16,0,"NA"
"285","Brazil","Bahia",2020-03-17,1,"NA"
"286","Brazil","Bahia",2020-03-18,0,"NA"
"287","Brazil","Bahia",2020-03-19,27,"NA"
"288","Brazil","Bahia",2020-03-20,3,"NA"
"289","Brazil","Bahia",2020-03-21,8,"NA"
"290","Brazil","Bahia",2020-03-22,8,"NA"
"291","Brazil","Bahia",2020-03-23,14,"NA"
"292","Brazil","Bahia",2020-03-24,13,"NA"
"293","Brazil","Bahia",2020-03-25,8,"NA"
"294","Brazil","Bahia",2020-03-26,20,"NA"
"295","Brazil","Bahia",2020-03-27,11,"NA"
"296","Brazil","Bahia",2020-03-28,13,"NA"
"297","Brazil","Bahia",2020-03-29,26,"NA"
"298","Brazil","Bahia",2020-03-30,22,"NA"
"299","Brazil","Bahia",2020-03-31,37,"NA"
"300","Brazil","Bahia",2020-04-01,33,"NA"
"301","Brazil","Bahia",2020-04-02,21,"NA"
"302","Brazil","Bahia",2020-04-03,15,"NA"
"303","Brazil","Bahia",2020-04-04,50,"NA"
"304","Brazil","Bahia",2020-04-05,69,"NA"
"305","Brazil","Bahia",2020-04-06,30,"NA"
"306","Brazil","Bahia",2020-04-07,25,"NA"
"307","Brazil","Bahia",2020-04-08,41,"NA"
"308","Brazil","Bahia",2020-04-09,62,"NA"
"309","Brazil","Bahia",2020-04-10,45,"NA"
"310","Brazil","Bahia",2020-04-11,31,"NA"
"311","Brazil","Bahia",2020-04-12,38,"NA"
"312","Brazil","Bahia",2020-04-13,50,"NA"
"313","Brazil","Bahia",2020-04-14,36,"NA"
"314","Brazil","Bahia",2020-04-15,48,"NA"
"315","Brazil","Bahia",2020-04-16,144,"NA"
"316","Brazil","Bahia",2020-04-17,108,"NA"
"317","Brazil","Bahia",2020-04-18,134,"NA"
"318","Brazil","Bahia",2020-04-19,37,"NA"
"319","Brazil","Bahia",2020-04-20,111,"NA"
"320","Brazil","Bahia",2020-04-21,148,"NA"
"321","Brazil","Bahia",2020-04-22,155,"NA"
"322","Brazil","Bahia",2020-04-23,145,"NA"
"323","Brazil","Bahia",2020-04-24,173,"NA"
"324","Brazil","Bahia",2020-04-25,119,"NA"
"325","Brazil","Bahia",2020-04-26,128,"NA"
"326","Brazil","Bahia",2020-04-27,145,"NA"
"327","Brazil","Bahia",2020-04-28,186,"NA"
"328","Brazil","Bahia",2020-04-29,106,"NA"
"329","Brazil","Bahia",2020-04-30,205,"NA"
"330","Brazil","Bahia",2020-05-01,234,"NA"
"331","Brazil","Ceará",2020-02-26,0,"NA"
"332","Brazil","Ceará",2020-02-27,0,"NA"
"333","Brazil","Ceará",2020-02-28,0,"NA"
"334","Brazil","Ceará",2020-02-29,0,"NA"
"335","Brazil","Ceará",2020-03-01,0,"NA"
"336","Brazil","Ceará",2020-03-02,0,"NA"
"337","Brazil","Ceará",2020-03-03,0,"NA"
"338","Brazil","Ceará",2020-03-04,0,"NA"
"339","Brazil","Ceará",2020-03-05,0,"NA"
"340","Brazil","Ceará",2020-03-06,0,"NA"
"341","Brazil","Ceará",2020-03-07,0,"NA"
"342","Brazil","Ceará",2020-03-08,0,"NA"
"343","Brazil","Ceará",2020-03-09,0,"NA"
"344","Brazil","Ceará",2020-03-10,0,"NA"
"345","Brazil","Ceará",2020-03-11,0,"NA"
"346","Brazil","Ceará",2020-03-12,0,"NA"
"347","Brazil","Ceará",2020-03-13,0,"NA"
"348","Brazil","Ceará",2020-03-14,0,"NA"
"349","Brazil","Ceará",2020-03-15,0,"NA"
"350","Brazil","Ceará",2020-03-16,0,"NA"
"351","Brazil","Ceará",2020-03-17,5,"NA"
