"","state","date","site","dailycases"
"182","Norway",2020-09-24,"Agder",3
"183","Norway",2020-09-25,"Agder",7
"184","Norway",2020-09-26,"Agder",13
"185","Norway",2020-09-27,"Agder",10
"186","Norway",2020-09-28,"Agder",0
"187","Norway",2020-09-29,"Agder",3
"188","Norway",2020-09-30,"Agder",6
"189","Norway",2020-10-01,"Agder",5
"190","Norway",2020-03-26,"Innlandet",146
"191","Norway",2020-03-27,"Innlandet",56
"192","Norway",2020-03-28,"Innlandet",26
"193","Norway",2020-03-29,"Innlandet",19
"194","Norway",2020-03-30,"Innlandet",11
"195","Norway",2020-03-31,"Innlandet",35
"196","Norway",2020-04-01,"Innlandet",34
"197","Norway",2020-04-02,"Innlandet",17
"198","Norway",2020-04-03,"Innlandet",6
"199","Norway",2020-04-04,"Innlandet",10
"200","Norway",2020-04-05,"Innlandet",2
"201","Norway",2020-04-06,"Innlandet",7
"202","Norway",2020-04-07,"Innlandet",4
"203","Norway",2020-04-08,"Innlandet",8
"204","Norway",2020-04-09,"Innlandet",6
"205","Norway",2020-04-10,"Innlandet",2
"206","Norway",2020-04-11,"Innlandet",3
"207","Norway",2020-04-12,"Innlandet",3
"208","Norway",2020-04-13,"Innlandet",1
"209","Norway",2020-04-14,"Innlandet",2
"210","Norway",2020-04-15,"Innlandet",1
"211","Norway",2020-04-16,"Innlandet",4
"212","Norway",2020-04-17,"Innlandet",2
"213","Norway",2020-04-18,"Innlandet",4
"214","Norway",2020-04-19,"Innlandet",3
"215","Norway",2020-04-20,"Innlandet",0
"216","Norway",2020-04-21,"Innlandet",2
"217","Norway",2020-04-22,"Innlandet",4
"218","Norway",2020-04-23,"Innlandet",1
"219","Norway",2020-04-24,"Innlandet",5
"220","Norway",2020-04-25,"Innlandet",1
"221","Norway",2020-04-26,"Innlandet",5
"222","Norway",2020-04-27,"Innlandet",0
"223","Norway",2020-04-28,"Innlandet",2
"224","Norway",2020-04-29,"Innlandet",5
"225","Norway",2020-04-30,"Innlandet",0
"226","Norway",2020-05-01,"Innlandet",3
"227","Norway",2020-05-02,"Innlandet",-32
"228","Norway",2020-05-03,"Innlandet",38
"229","Norway",2020-05-04,"Innlandet",0
"230","Norway",2020-05-05,"Innlandet",1
"231","Norway",2020-05-06,"Innlandet",7
"232","Norway",2020-05-07,"Innlandet",0
"233","Norway",2020-05-08,"Innlandet",3
"234","Norway",2020-05-09,"Innlandet",3
"235","Norway",2020-05-10,"Innlandet",3
"236","Norway",2020-05-11,"Innlandet",0
"237","Norway",2020-05-12,"Innlandet",4
"238","Norway",2020-05-13,"Innlandet",4
"239","Norway",2020-05-14,"Innlandet",1
"240","Norway",2020-05-15,"Innlandet",5
"241","Norway",2020-05-16,"Innlandet",1
"242","Norway",2020-05-17,"Innlandet",2
"243","Norway",2020-05-18,"Innlandet",0
"244","Norway",2020-05-19,"Innlandet",0
"245","Norway",2020-05-20,"Innlandet",0
