"","state","site","date","dailycases","note"
"160","Austria","Ooe",2020-03-08,3,"NA"
"161","Austria","Ooe",2020-03-09,4,"NA"
"162","Austria","Ooe",2020-03-10,11,"NA"
"163","Austria","Ooe",2020-03-11,13,"NA"
"164","Austria","Ooe",2020-03-12,23,"NA"
"165","Austria","Ooe",2020-03-13,26,"NA"
"166","Austria","Ooe",2020-03-14,32,"NA"
"167","Austria","Ooe",2020-03-15,43,"NA"
"168","Austria","Ooe",2020-03-16,43,"NA"
"169","Austria","Ooe",2020-03-17,46,"NA"
"170","Austria","Ooe",2020-03-18,57,"NA"
"171","Austria","Ooe",2020-03-19,66,"NA"
"172","Austria","Ooe",2020-03-20,50,"NA"
"173","Austria","Ooe",2020-03-21,127,"NA"
"174","Austria","Ooe",2020-03-22,80,"NA"
"175","Austria","Ooe",2020-03-23,79,"NA"
"176","Austria","Ooe",2020-03-24,88,"NA"
"177","Austria","Ooe",2020-03-25,120,"NA"
"178","Austria","Ooe",2020-03-26,139,"NA"
"179","Austria","Ooe",2020-03-27,163,"NA"
"180","Austria","Ooe",2020-03-28,115,"NA"
"181","Austria","Ooe",2020-03-29,119,"NA"
"182","Austria","Ooe",2020-03-30,84,"NA"
"183","Austria","Ooe",2020-03-31,61,"NA"
"184","Austria","Ooe",2020-04-01,75,"NA"
"185","Austria","Ooe",2020-04-02,110,"NA"
"186","Austria","Ooe",2020-04-03,55,"NA"
"187","Austria","Ooe",2020-04-04,54,"NA"
"188","Austria","Ooe",2020-04-05,42,"NA"
"189","Austria","Ooe",2020-04-06,31,"NA"
"190","Austria","Ooe",2020-04-07,28,"NA"
"191","Austria","Ooe",2020-04-08,46,"NA"
"192","Austria","Ooe",2020-04-09,42,"NA"
"193","Austria","Ooe",2020-04-10,21,"NA"
"194","Austria","Ooe",2020-04-11,15,"NA"
"195","Austria","Ooe",2020-04-12,3,"NA"
"196","Austria","Ooe",2020-04-13,9,"NA"
"197","Austria","Stmk",2020-02-25,0,"NA"
"198","Austria","Stmk",2020-02-26,0,"NA"
"199","Austria","Stmk",2020-02-27,0,"NA"
"200","Austria","Stmk",2020-02-28,0,"NA"
"201","Austria","Stmk",2020-02-29,1,"NA"
"202","Austria","Stmk",2020-03-01,0,"NA"
"203","Austria","Stmk",2020-03-02,0,"NA"
"204","Austria","Stmk",2020-03-03,1,"NA"
"205","Austria","Stmk",2020-03-04,2,"NA"
"206","Austria","Stmk",2020-03-05,0,"NA"
"207","Austria","Stmk",2020-03-06,1,"NA"
"208","Austria","Stmk",2020-03-07,1,"NA"
"209","Austria","Stmk",2020-03-08,4,"NA"
"210","Austria","Stmk",2020-03-09,6,"NA"
"211","Austria","Stmk",2020-03-10,1,"NA"
"212","Austria","Stmk",2020-03-11,8,"NA"
"213","Austria","Stmk",2020-03-12,8,"NA"
"214","Austria","Stmk",2020-03-13,19,"NA"
"215","Austria","Stmk",2020-03-14,19,"NA"
"216","Austria","Stmk",2020-03-15,40,"NA"
"217","Austria","Stmk",2020-03-16,28,"NA"
"218","Austria","Stmk",2020-03-17,32,"NA"
"219","Austria","Stmk",2020-03-18,49,"NA"
"220","Austria","Stmk",2020-03-19,62,"NA"
"221","Austria","Stmk",2020-03-20,58,"NA"
"222","Austria","Stmk",2020-03-21,48,"NA"
"223","Austria","Stmk",2020-03-22,35,"NA"
"224","Austria","Stmk",2020-03-23,63,"NA"
"225","Austria","Stmk",2020-03-24,72,"NA"
"226","Austria","Stmk",2020-03-25,69,"NA"
"227","Austria","Stmk",2020-03-26,72,"NA"
"228","Austria","Stmk",2020-03-27,60,"NA"
"229","Austria","Stmk",2020-03-28,69,"NA"
"230","Austria","Stmk",2020-03-29,87,"NA"
"231","Austria","Stmk",2020-03-30,43,"NA"
"232","Austria","Stmk",2020-03-31,91,"NA"
"233","Austria","Stmk",2020-04-01,64,"NA"
"234","Austria","Stmk",2020-04-02,45,"NA"
"235","Austria","Stmk",2020-04-03,47,"NA"
"236","Austria","Stmk",2020-04-04,58,"NA"
"237","Austria","Stmk",2020-04-05,48,"NA"
"238","Austria","Stmk",2020-04-06,28,"NA"
"239","Austria","Stmk",2020-04-07,33,"NA"
"240","Austria","Stmk",2020-04-08,51,"NA"
"241","Austria","Stmk",2020-04-09,35,"NA"
"242","Austria","Stmk",2020-04-10,26,"NA"
"243","Austria","Stmk",2020-04-11,31,"NA"
"244","Austria","Stmk",2020-04-12,9,"NA"
"245","Austria","Stmk",2020-04-13,36,"NA"
"246","Austria","Szbg",2020-02-25,0,"NA"
"247","Austria","Szbg",2020-02-26,0,"NA"
"248","Austria","Szbg",2020-02-27,0,"NA"
"249","Austria","Szbg",2020-02-28,0,"NA"
"250","Austria","Szbg",2020-02-29,0,"NA"
"251","Austria","Szbg",2020-03-01,1,"NA"
"252","Austria","Szbg",2020-03-02,0,"NA"
"253","Austria","Szbg",2020-03-03,1,"NA"
"254","Austria","Szbg",2020-03-04,1,"NA"
"255","Austria","Szbg",2020-03-05,1,"NA"
"256","Austria","Szbg",2020-03-06,1,"NA"
"257","Austria","Szbg",2020-03-07,0,"NA"
"258","Austria","Szbg",2020-03-08,3,"NA"
"259","Austria","Szbg",2020-03-09,1,"NA"
"260","Austria","Szbg",2020-03-10,3,"NA"
"261","Austria","Szbg",2020-03-11,2,"NA"
"262","Austria","Szbg",2020-03-12,5,"NA"
"263","Austria","Szbg",2020-03-13,4,"NA"
"264","Austria","Szbg",2020-03-14,7,"NA"
"265","Austria","Szbg",2020-03-15,9,"NA"
"266","Austria","Szbg",2020-03-16,19,"NA"
"267","Austria","Szbg",2020-03-17,8,"NA"
"268","Austria","Szbg",2020-03-18,23,"NA"
"269","Austria","Szbg",2020-03-19,38,"NA"
"270","Austria","Szbg",2020-03-20,40,"NA"
"271","Austria","Szbg",2020-03-21,18,"NA"
"272","Austria","Szbg",2020-03-22,84,"NA"
"273","Austria","Szbg",2020-03-23,103,"NA"
"274","Austria","Szbg",2020-03-24,57,"NA"
"275","Austria","Szbg",2020-03-25,87,"NA"
"276","Austria","Szbg",2020-03-26,75,"NA"
"277","Austria","Szbg",2020-03-27,96,"NA"
"278","Austria","Szbg",2020-03-28,64,"NA"
"279","Austria","Szbg",2020-03-29,47,"NA"
"280","Austria","Szbg",2020-03-30,57,"NA"
"281","Austria","Szbg",2020-03-31,56,"NA"
"282","Austria","Szbg",2020-04-01,44,"NA"
"283","Austria","Szbg",2020-04-02,39,"NA"
"284","Austria","Szbg",2020-04-03,44,"NA"
"285","Austria","Szbg",2020-04-04,21,"NA"
"286","Austria","Szbg",2020-04-05,10,"NA"
"287","Austria","Szbg",2020-04-06,14,"NA"
"288","Austria","Szbg",2020-04-07,11,"NA"
"289","Austria","Szbg",2020-04-08,25,"NA"
"290","Austria","Szbg",2020-04-09,15,"NA"
"291","Austria","Szbg",2020-04-10,18,"NA"
"292","Austria","Szbg",2020-04-11,2,"NA"
"293","Austria","Szbg",2020-04-12,27,"NA"
"294","Austria","Szbg",2020-04-13,-12,"NA"
"295","Austria","T",2020-02-25,2,"NA"
"296","Austria","T",2020-02-26,0,"NA"
"297","Austria","T",2020-02-27,0,"NA"
"298","Austria","T",2020-02-28,0,"NA"
"299","Austria","T",2020-02-29,0,"NA"
"300","Austria","T",2020-03-01,0,"NA"
"301","Austria","T",2020-03-02,0,"NA"
"302","Austria","T",2020-03-03,0,"NA"
"303","Austria","T",2020-03-04,0,"NA"
"304","Austria","T",2020-03-05,1,"NA"
"305","Austria","T",2020-03-06,1,"NA"
"306","Austria","T",2020-03-07,3,"NA"
"307","Austria","T",2020-03-08,1,"NA"
"308","Austria","T",2020-03-09,8,"NA"
"309","Austria","T",2020-03-10,16,"NA"
"310","Austria","T",2020-03-11,25,"NA"
"311","Austria","T",2020-03-12,52,"NA"
"312","Austria","T",2020-03-13,58,"NA"
"313","Austria","T",2020-03-14,39,"NA"
"314","Austria","T",2020-03-15,48,"NA"
"315","Austria","T",2020-03-16,0,"NA"
"316","Austria","T",2020-03-17,74,"NA"
"317","Austria","T",2020-03-18,54,"NA"
"318","Austria","T",2020-03-19,82,"NA"
"319","Austria","T",2020-03-20,44,"NA"
"320","Austria","T",2020-03-21,67,"NA"
"321","Austria","T",2020-03-22,69,"NA"
"322","Austria","T",2020-03-23,159,"NA"
"323","Austria","T",2020-03-24,450,"NA"
"324","Austria","T",2020-03-25,140,"NA"
"325","Austria","T",2020-03-26,230,"NA"
"326","Austria","T",2020-03-27,129,"NA"
"327","Austria","T",2020-03-28,94,"NA"
"328","Austria","T",2020-03-29,98,"NA"
"329","Austria","T",2020-03-30,261,"NA"
"330","Austria","T",2020-03-31,118,"NA"
"331","Austria","T",2020-04-01,91,"NA"
"332","Austria","T",2020-04-02,117,"NA"
"333","Austria","T",2020-04-03,64,"NA"
"334","Austria","T",2020-04-04,63,"NA"
"335","Austria","T",2020-04-05,46,"NA"
"336","Austria","T",2020-04-06,70,"NA"
"337","Austria","T",2020-04-07,61,"NA"
"338","Austria","T",2020-04-08,68,"NA"
"339","Austria","T",2020-04-09,93,"NA"
"340","Austria","T",2020-04-10,167,"NA"
"341","Austria","T",2020-04-11,94,"NA"
"342","Austria","T",2020-04-12,67,"NA"
"343","Austria","T",2020-04-13,-25,"NA"
"344","Austria","V",2020-02-25,0,"NA"
"345","Austria","V",2020-02-26,0,"NA"
"346","Austria","V",2020-02-27,0,"NA"
"347","Austria","V",2020-02-28,0,"NA"
"348","Austria","V",2020-02-29,0,"NA"
"349","Austria","V",2020-03-01,0,"NA"
"350","Austria","V",2020-03-02,0,"NA"
